,t-24,t-23,t-22,t-21,t-20,t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t-0
49,0.04858236,0.06403905,0.11210092,0.21931165,0.09678942,0.12410125,0.025034584,0.033353157,0.044333123,0.043084092,0.046666753,0.056504283,0.1622558,0.12508766,0.17832942,0.4762512,0.18133931,0.13514112,0.08691963,0.06511304,0.05697034,0.056529798,0.06792318,0.067028485,0.14351426
50,0.06403905,0.11210092,0.21931165,0.09678942,0.12410125,0.025034584,0.033353157,0.044333123,0.043084092,0.046666753,0.056504283,0.1622558,0.12508766,0.17832942,0.4762512,0.18133931,0.13514112,0.08691963,0.06511304,0.05697034,0.056529798,0.06792318,0.067028485,0.14351426,0.12363219
51,0.11210092,0.21931165,0.09678942,0.12410125,0.025034584,0.033353157,0.044333123,0.043084092,0.046666753,0.056504283,0.1622558,0.12508766,0.17832942,0.4762512,0.18133931,0.13514112,0.08691963,0.06511304,0.05697034,0.056529798,0.06792318,0.067028485,0.14351426,0.12363219,0.1325381
52,0.21931165,0.09678942,0.12410125,0.025034584,0.033353157,0.044333123,0.043084092,0.046666753,0.056504283,0.1622558,0.12508766,0.17832942,0.4762512,0.18133931,0.13514112,0.08691963,0.06511304,0.05697034,0.056529798,0.06792318,0.067028485,0.14351426,0.12363219,0.1325381,0.15790242
53,0.09678942,0.12410125,0.025034584,0.033353157,0.044333123,0.043084092,0.046666753,0.056504283,0.1622558,0.12508766,0.17832942,0.4762512,0.18133931,0.13514112,0.08691963,0.06511304,0.05697034,0.056529798,0.06792318,0.067028485,0.14351426,0.12363219,0.1325381,0.15790242,0.1892882
54,0.12410125,0.025034584,0.033353157,0.044333123,0.043084092,0.046666753,0.056504283,0.1622558,0.12508766,0.17832942,0.4762512,0.18133931,0.13514112,0.08691963,0.06511304,0.05697034,0.056529798,0.06792318,0.067028485,0.14351426,0.12363219,0.1325381,0.15790242,0.1892882,0.10375571
55,0.025034584,0.033353157,0.044333123,0.043084092,0.046666753,0.056504283,0.1622558,0.12508766,0.17832942,0.4762512,0.18133931,0.13514112,0.08691963,0.06511304,0.05697034,0.056529798,0.06792318,0.067028485,0.14351426,0.12363219,0.1325381,0.15790242,0.1892882,0.10375571,0.045037754
56,0.033353157,0.044333123,0.043084092,0.046666753,0.056504283,0.1622558,0.12508766,0.17832942,0.4762512,0.18133931,0.13514112,0.08691963,0.06511304,0.05697034,0.056529798,0.06792318,0.067028485,0.14351426,0.12363219,0.1325381,0.15790242,0.1892882,0.10375571,0.045037754,0.05412898
57,0.044333123,0.043084092,0.046666753,0.056504283,0.1622558,0.12508766,0.17832942,0.4762512,0.18133931,0.13514112,0.08691963,0.06511304,0.05697034,0.056529798,0.06792318,0.067028485,0.14351426,0.12363219,0.1325381,0.15790242,0.1892882,0.10375571,0.045037754,0.05412898,0.059118375
58,0.043084092,0.046666753,0.056504283,0.1622558,0.12508766,0.17832942,0.4762512,0.18133931,0.13514112,0.08691963,0.06511304,0.05697034,0.056529798,0.06792318,0.067028485,0.14351426,0.12363219,0.1325381,0.15790242,0.1892882,0.10375571,0.045037754,0.05412898,0.059118375,0.05876008
