Units, ,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF
Type, ,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER
197,28 Feb 1937, 24:00, ,10.404, , , , , , , , 
198,31 Mar 1937, 24:00, ,12.520, , , , , , , , 
199,30 Apr 1937, 24:00, ,13.852, , , , , , , , 
200,31 May 1937, 24:00, ,14.548, , , , , , , , 
201,30 Jun 1937, 24:00, ,13.425, , , , , , , , 
202,31 Jul 1937, 24:00, ,13.315, , , , , , , , 
203,31 Aug 1937, 24:00, ,13.524, , , , , , , , 
204,30 Sep 1937, 24:00, ,13.057, , , , , , , , 
205,31 Oct 1937, 24:00, ,6.357, , , , , , , , 
206,30 Nov 1937, 24:00, ,10.166, , , , , , , , 
207,31 Dec 1937, 24:00, ,14.824, , , , , , , , 
208,31 Jan 1938, 24:00, ,14.757, , , , , , , , 
209,28 Feb 1938, 24:00, ,13.545, , , , , , , , 
210,31 Mar 1938, 24:00, ,14.748, , , , , , , , 
211,30 Apr 1938, 24:00, ,14.481, , , , , , , , 
212,31 May 1938, 24:00, ,14.557, , , , , , , , 
213,30 Jun 1938, 24:00, ,13.755, , , , , , , , 
214,31 Jul 1938, 24:00, ,14.070, , , , , , , , 
215,31 Aug 1938, 24:00, ,13.860, , , , , , , , 
216,30 Sep 1938, 24:00, ,5.431, , , , , , , , 
217,31 Oct 1938, 24:00, ,12.934, , , , , , , , 
218,30 Nov 1938, 24:00, ,12.924, , , , , , , , 
219,31 Dec 1938, 24:00, ,12.546, , , , , , , , 
220,31 Jan 1939, 24:00, ,13.661, , , , , , , , 
221,28 Feb 1939, 24:00, ,6.372, , , , , , , , 
222,31 Mar 1939, 24:00, ,4.849, , , , , , , , 
223,30 Apr 1939, 24:00, ,0.448, , , , , , , , 
224,31 May 1939, 24:00, ,0.846, , , , , , , , 
225,30 Jun 1939, 24:00, ,1.513, , , , , , , , 
226,31 Jul 1939, 24:00, ,1.503, , , , , , , , 
227,31 Aug 1939, 24:00, ,0.189, , , , , , , , 
228,30 Sep 1939, 24:00, ,12.396, , , , , , , , 
229,31 Oct 1939, 24:00, ,0.331, , , , , , , , 
230,30 Nov 1939, 24:00, ,0.210, , , , , , , , 
231,31 Dec 1939, 24:00, ,5.240, , , , , , , , 
232,31 Jan 1940, 24:00, , ,13.256, , , , , , , 
233,29 Feb 1940, 24:00, , ,5.521, , , , , , , 
234,31 Mar 1940, 24:00, , ,0.000, , , , , , , 
235,30 Apr 1940, 24:00, , ,2.365, , , , , , , 
236,31 May 1940, 24:00, , ,10.009, , , , , , , 
237,30 Jun 1940, 24:00, , ,7.985, , , , , , , 
238,31 Jul 1940, 24:00, , ,8.727, , , , , , , 
239,31 Aug 1940, 24:00, , ,8.186, , , , , , , 
240,30 Sep 1940, 24:00, , ,7.605, , , , , , , 
241,31 Oct 1940, 24:00, , ,2.659, , , , , , , 
242,30 Nov 1940, 24:00, , ,12.239, , , , , , , 
243,31 Dec 1940, 24:00, , ,4.749, , , , , , , 
244,31 Jan 1941, 24:00, , ,3.146, , , , , , , 
245,28 Feb 1941, 24:00, , ,1.969, , , , , , , 
246,31 Mar 1941, 24:00, , ,7.144, , , , , , , 
247,30 Apr 1941, 24:00, , ,12.513, , , , , , , 
248,31 May 1941, 24:00, , ,13.213, , , , , , , 
249,30 Jun 1941, 24:00, , ,12.878, , , , , , , 
250,31 Jul 1941, 24:00, , ,12.239, , , , , , , 
251,31 Aug 1941, 24:00, , ,12.492, , , , , , , 
252,30 Sep 1941, 24:00, , ,13.050, , , , , , , 
253,31 Oct 1941, 24:00, , ,2.591, , , , , , , 
254,30 Nov 1941, 24:00, , ,11.926, , , , , , , 
255,31 Dec 1941, 24:00, , ,4.628, , , , , , , 
256,31 Jan 1942, 24:00, , ,3.066, , , , , , , 
257,28 Feb 1942, 24:00, , ,1.918, , , , , , , 
258,31 Mar 1942, 24:00, , ,6.962, , , , , , , 
259,30 Apr 1942, 24:00, , ,12.193, , , , , , , 
260,31 May 1942, 24:00, , ,12.875, , , , , , , 
261,30 Jun 1942, 24:00, , ,12.549, , , , , , , 
262,31 Jul 1942, 24:00, , ,11.926, , , , , , , 
263,31 Aug 1942, 24:00, , ,12.173, , , , , , , 
264,30 Sep 1942, 24:00, , ,12.717, , , , , , , 
265,31 Oct 1942, 24:00, , ,0.334, , , , , , , 
266,30 Nov 1942, 24:00, , ,0.212, , , , , , , 
267,31 Dec 1942, 24:00, , ,5.290, , , , , , , 
